test_id,array_size,sort_method,timestamp
0,5,bubble_sort,2643.0nS
0,5,selection_sort,4909.0nS
0,5,insertion_sort,4531.0nS
0,5,merge_sort,4153.0nS
0,5,quick_sort,3399.0nS
0,5,count_sort,4153.0nS
0,5,bucket_sort,4153.0nS
0,5,radix_sort,8684.0nS
1,5,bubble_sort,378.0nS
1,5,selection_sort,755.0nS
1,5,insertion_sort,377.0nS
1,5,merge_sort,378.0nS
1,5,quick_sort,378.0nS
1,5,count_sort,378.0nS
1,5,bucket_sort,755.0nS
1,5,radix_sort,755.0nS
2,5,bubble_sort,378.0nS
2,5,selection_sort,377.0nS
2,5,insertion_sort,377.0nS
2,5,merge_sort,1511.0nS
2,5,quick_sort,378.0nS
2,5,count_sort,755.0nS
2,5,bucket_sort,378.0nS
2,5,radix_sort,378.0nS
3,5,bubble_sort,378.0nS
3,5,selection_sort,755.0nS
3,5,insertion_sort,378.0nS
3,5,merge_sort,377.0nS
3,5,quick_sort,755.0nS
3,5,count_sort,377.0nS
3,5,bucket_sort,377.0nS
3,5,radix_sort,0.0nS
4,5,bubble_sort,0.0nS
4,5,selection_sort,0.0nS
4,5,insertion_sort,0.0nS
4,5,merge_sort,377.0nS
4,5,quick_sort,0.0nS
4,5,count_sort,378.0nS
4,5,bucket_sort,755.0nS
4,5,radix_sort,377.0nS
5,5,bubble_sort,377.0nS
5,5,selection_sort,377.0nS
5,5,insertion_sort,378.0nS
5,5,merge_sort,377.0nS
5,5,quick_sort,378.0nS
5,5,count_sort,755.0nS
5,5,bucket_sort,378.0nS
5,5,radix_sort,378.0nS
6,5,bubble_sort,755.0nS
6,5,selection_sort,377.0nS
6,5,insertion_sort,377.0nS
6,5,merge_sort,377.0nS
6,5,quick_sort,377.0nS
6,5,count_sort,378.0nS
6,5,bucket_sort,377.0nS
6,5,radix_sort,377.0nS
7,5,bubble_sort,378.0nS
7,5,selection_sort,377.0nS
7,5,insertion_sort,377.0nS
7,5,merge_sort,378.0nS
7,5,quick_sort,378.0nS
7,5,count_sort,377.0nS
7,5,bucket_sort,0.0nS
7,5,radix_sort,0.0nS
8,5,bubble_sort,0.0nS
8,5,selection_sort,377.0nS
8,5,insertion_sort,0.0nS
8,5,merge_sort,0.0nS
8,5,quick_sort,0.0nS
8,5,count_sort,377.0nS
8,5,bucket_sort,378.0nS
8,5,radix_sort,377.0nS
9,5,bubble_sort,378.0nS
9,5,selection_sort,0.0nS
9,5,insertion_sort,378.0nS
9,5,merge_sort,377.0nS
9,5,quick_sort,377.0nS
9,5,count_sort,0.0nS
9,5,bucket_sort,378.0nS
9,5,radix_sort,0.0nS
10,5,bubble_sort,378.0nS
10,5,selection_sort,377.0nS
10,5,insertion_sort,378.0nS
10,5,merge_sort,377.0nS
10,5,quick_sort,378.0nS
10,5,count_sort,378.0nS
10,5,bucket_sort,377.0nS
10,5,radix_sort,378.0nS
11,5,bubble_sort,0.0nS
11,5,selection_sort,378.0nS
11,5,insertion_sort,378.0nS
11,5,merge_sort,377.0nS
11,5,quick_sort,378.0nS
11,5,count_sort,378.0nS
11,5,bucket_sort,0.0nS
11,5,radix_sort,378.0nS
12,5,bubble_sort,378.0nS
12,5,selection_sort,378.0nS
12,5,insertion_sort,377.0nS
12,5,merge_sort,377.0nS
12,5,quick_sort,0.0nS
12,5,count_sort,0.0nS
12,5,bucket_sort,377.0nS
12,5,radix_sort,0.0nS
13,5,bubble_sort,756.0nS
13,5,selection_sort,378.0nS
13,5,insertion_sort,378.0nS
13,5,merge_sort,378.0nS
13,5,quick_sort,377.0nS
13,5,count_sort,378.0nS
13,5,bucket_sort,756.0nS
13,5,radix_sort,378.0nS
14,5,bubble_sort,378.0nS
14,5,selection_sort,378.0nS
14,5,insertion_sort,378.0nS
14,5,merge_sort,378.0nS
14,5,quick_sort,0.0nS
14,5,count_sort,0.0nS
14,5,bucket_sort,378.0nS
14,5,radix_sort,378.0nS
15,5,bubble_sort,377.0nS
15,5,selection_sort,377.0nS
15,5,insertion_sort,377.0nS
15,5,merge_sort,378.0nS
15,5,quick_sort,0.0nS
15,5,count_sort,0.0nS
15,5,bucket_sort,378.0nS
15,5,radix_sort,378.0nS
16,5,bubble_sort,378.0nS
16,5,selection_sort,0.0nS
16,5,insertion_sort,377.0nS
16,5,merge_sort,378.0nS
16,5,quick_sort,755.0nS
16,5,count_sort,378.0nS
16,5,bucket_sort,0.0nS
16,5,radix_sort,1133.0nS
17,5,bubble_sort,756.0nS
17,5,selection_sort,378.0nS
17,5,insertion_sort,0.0nS
17,5,merge_sort,377.0nS
17,5,quick_sort,378.0nS
17,5,count_sort,378.0nS
17,5,bucket_sort,377.0nS
17,5,radix_sort,378.0nS
18,5,bubble_sort,377.0nS
18,5,selection_sort,378.0nS
18,5,insertion_sort,0.0nS
18,5,merge_sort,377.0nS
18,5,quick_sort,0.0nS
18,5,count_sort,377.0nS
18,5,bucket_sort,377.0nS
18,5,radix_sort,755.0nS
19,5,bubble_sort,378.0nS
19,5,selection_sort,0.0nS
19,5,insertion_sort,377.0nS
19,5,merge_sort,377.0nS
19,5,quick_sort,0.0nS
19,5,count_sort,0.0nS
19,5,bucket_sort,0.0nS
19,5,radix_sort,0.0nS
20,5,bubble_sort,378.0nS
20,5,selection_sort,378.0nS
20,5,insertion_sort,0.0nS
20,5,merge_sort,0.0nS
20,5,quick_sort,377.0nS
20,5,count_sort,378.0nS
20,5,bucket_sort,377.0nS
20,5,radix_sort,377.0nS
21,5,bubble_sort,378.0nS
21,5,selection_sort,0.0nS
21,5,insertion_sort,378.0nS
21,5,merge_sort,378.0nS
21,5,quick_sort,0.0nS
21,5,count_sort,377.0nS
21,5,bucket_sort,0.0nS
21,5,radix_sort,378.0nS
22,5,bubble_sort,755.0nS
22,5,selection_sort,378.0nS
22,5,insertion_sort,377.0nS
22,5,merge_sort,377.0nS
22,5,quick_sort,378.0nS
22,5,count_sort,378.0nS
22,5,bucket_sort,0.0nS
22,5,radix_sort,378.0nS
23,5,bubble_sort,377.0nS
23,5,selection_sort,377.0nS
23,5,insertion_sort,0.0nS
23,5,merge_sort,377.0nS
23,5,quick_sort,0.0nS
23,5,count_sort,377.0nS
23,5,bucket_sort,378.0nS
23,5,radix_sort,378.0nS
24,5,bubble_sort,378.0nS
24,5,selection_sort,377.0nS
24,5,insertion_sort,378.0nS
24,5,merge_sort,377.0nS
24,5,quick_sort,377.0nS
24,5,count_sort,377.0nS
24,5,bucket_sort,378.0nS
24,5,radix_sort,377.0nS
25,5,bubble_sort,377.0nS
25,5,selection_sort,0.0nS
25,5,insertion_sort,0.0nS
25,5,merge_sort,0.0nS
25,5,quick_sort,377.0nS
25,5,count_sort,378.0nS
25,5,bucket_sort,0.0nS
25,5,radix_sort,378.0nS
26,5,bubble_sort,755.0nS
26,5,selection_sort,377.0nS
26,5,insertion_sort,377.0nS
26,5,merge_sort,377.0nS
26,5,quick_sort,378.0nS
26,5,count_sort,378.0nS
26,5,bucket_sort,377.0nS
26,5,radix_sort,378.0nS
27,5,bubble_sort,0.0nS
27,5,selection_sort,377.0nS
27,5,insertion_sort,377.0nS
27,5,merge_sort,377.0nS
27,5,quick_sort,378.0nS
27,5,count_sort,0.0nS
27,5,bucket_sort,377.0nS
27,5,radix_sort,377.0nS
28,5,bubble_sort,377.0nS
28,5,selection_sort,378.0nS
28,5,insertion_sort,378.0nS
28,5,merge_sort,378.0nS
28,5,quick_sort,0.0nS
28,5,count_sort,378.0nS
28,5,bucket_sort,0.0nS
28,5,radix_sort,378.0nS
29,5,bubble_sort,378.0nS
29,5,selection_sort,378.0nS
29,5,insertion_sort,377.0nS
29,5,merge_sort,378.0nS
29,5,quick_sort,377.0nS
29,5,count_sort,377.0nS
29,5,bucket_sort,377.0nS
29,5,radix_sort,377.0nS
30,5,bubble_sort,0.0nS
30,5,selection_sort,378.0nS
30,5,insertion_sort,378.0nS
30,5,merge_sort,378.0nS
30,5,quick_sort,377.0nS
30,5,count_sort,378.0nS
30,5,bucket_sort,378.0nS
30,5,radix_sort,0.0nS
31,5,bubble_sort,377.0nS
31,5,selection_sort,3776.0nS
31,5,insertion_sort,377.0nS
31,5,merge_sort,378.0nS
31,5,quick_sort,0.0nS
31,5,count_sort,0.0nS
31,5,bucket_sort,0.0nS
31,5,radix_sort,378.0nS
32,5,bubble_sort,378.0nS
32,5,selection_sort,0.0nS
32,5,insertion_sort,378.0nS
32,5,merge_sort,0.0nS
32,5,quick_sort,0.0nS
32,5,count_sort,0.0nS
32,5,bucket_sort,0.0nS
32,5,radix_sort,377.0nS
33,5,bubble_sort,0.0nS
33,5,selection_sort,377.0nS
33,5,insertion_sort,0.0nS
33,5,merge_sort,377.0nS
33,5,quick_sort,378.0nS
33,5,count_sort,377.0nS
33,5,bucket_sort,0.0nS
33,5,radix_sort,0.0nS
34,5,bubble_sort,378.0nS
34,5,selection_sort,0.0nS
34,5,insertion_sort,0.0nS
34,5,merge_sort,378.0nS
34,5,quick_sort,378.0nS
34,5,count_sort,0.0nS
34,5,bucket_sort,378.0nS
34,5,radix_sort,0.0nS
35,5,bubble_sort,378.0nS
35,5,selection_sort,378.0nS
35,5,insertion_sort,378.0nS
35,5,merge_sort,0.0nS
35,5,quick_sort,377.0nS
35,5,count_sort,378.0nS
35,5,bucket_sort,0.0nS
35,5,radix_sort,0.0nS
36,5,bubble_sort,0.0nS
36,5,selection_sort,377.0nS
36,5,insertion_sort,378.0nS
36,5,merge_sort,0.0nS
36,5,quick_sort,0.0nS
36,5,count_sort,0.0nS
36,5,bucket_sort,378.0nS
36,5,radix_sort,0.0nS
37,5,bubble_sort,0.0nS
37,5,selection_sort,378.0nS
37,5,insertion_sort,754.0nS
37,5,merge_sort,377.0nS
37,5,quick_sort,378.0nS
37,5,count_sort,378.0nS
37,5,bucket_sort,0.0nS
